"","method","mu","value"
"1","cons_louvain",5,1
"2","cons_louvain",10,0.986384652581262
"3","cons_louvain",15,0.97435424328344
"4","cons_louvain",20,0.950325989238734
"5","cons_louvain",25,0.913958757526173
"6","cons_louvain",30,0.847175279888822
"7","cons_louvain",35,0.802159471928447
"8","cons_louvain",40,0.710938924771125
"9","cons_louvain",45,0.673803277940619
"10","cons_louvain",50,0.636312276004343
"11","cons_louvain",55,0.558754608935806
"12","cons_louvain",60,0.553426247528533
"13","cons_louvain",65,0.525554496702001
"14","cons_louvain",70,0.512359553849255
"15","cons_louvain",75,0.500004035567957
"16","cons_louvain",80,0.489339165004529
"17","cons_louvain",85,0.482997307544582
"18","cons_louvain",90,0.481390506433165
"19","cons_louvain",95,0.477542102537748
