"","m","nnclust","random_resolution"
"1",0.322232921942254,18,NA
"2",0.320100176859648,16,NA
"3",0.324394901232595,16,NA
"4",0.324144948756453,16,NA
"5",0.313302090735526,41,NA
"6",0.327808506584384,41,NA
"7",0.326979387910237,41,NA
"8",0.308176859063565,39,NA
"9",0.320417331470822,39,NA
"10",0.311900931701509,39,NA
"11",0.316049996634412,39,NA
"12",0.328177953884645,39,NA
"13",0.319721484241191,39,NA
"14",0.327822575546857,39,NA
"15",0.31079101846206,39,NA
"16",0.324889617113004,39,NA
"17",0.324051983975854,39,NA
"18",0.323726461072716,39,NA
"19",0.324249241792551,39,NA
"20",0.325117717018862,39,NA
"21",0.31405074225288,39,NA
"22",0.325190437110605,39,NA
"23",0.308442634554643,39,NA
"24",0.307554864751227,40,NA
"25",0.309696014668556,40,NA
"26",0.329563947673399,40,NA
"27",0.325112491404229,40,NA
"28",0.325498236775303,40,NA
"29",0.321684415119611,40,NA
"30",0.324200420665632,40,NA
"31",0.314783059156662,40,NA
"32",0.324470288945793,40,NA
"33",0.32707198726324,40,NA
"34",0.310680768956136,40,NA
"35",0.325401069577341,40,NA
"36",0.325088373182847,40,NA
"37",0.322542256402858,40,NA
"38",0.322058795692427,40,NA
"39",0.328539690662616,40,NA
"40",0.322742766525166,40,NA
"41",0.311122717091582,40,NA
"42",0.325251171177176,40,NA
"43",0.306169053676271,40,NA
"44",0.305750127479417,40,NA
"45",0.32803138087561,40,NA
"46",0.325705982364026,40,NA
"47",0.315371105245267,40,NA
"48",0.325730648726803,40,NA
"49",0.321945988193327,40,NA
"50",0.310243096323572,40,NA
